ID,FRAME,DIALOGUE,SOURCE,TEXT,TOKENS,EN,FR,HI,AR,ZH
2663.1.1,2663,1,BEANISH-1,ᔪᕒᖚᐧ ᘛᔭᐤ ,ᔪ_ᕒ_ᖚᐧ ᘛ_ᔭ_ᐤ ,Where are you from?,D'où venez-vous?,आप कहां से हैं?,من أين أنت؟,你从哪来？
2664.1.1,2664,1,BEANISH-2,"ᔪᖆᓄᐧ ᔪ, ᒣᖉ ᖊᐣᖽ ᖽᘛᕋᑦᐤ ","ᔪ_ᖆ_ᓄᐧ ᔪ, ᒣ_ᖉ ᖊᐣ_ᖽ ᖽ_ᘛ_ᕋᑦ_ᐤ ",Is your leg injured?,Votre jambe est blessée?,क्या आपका पैर घायल है?,هل ساقك مصابة؟,你的腿受伤了吗？
2668.1.1,2668,1,BEANISH-2,ᓭᘈ ᘊᒣᓭᐧᖊᔕ ᖆᘊᓭᒣᖊᐣᖗᐨ ,ᓭ_ᘈ ᘊ_ᒣ_ᓭᐧ_ᖊ_ᔕ ᖆ_ᘊ_ᓭ_ᒣ_ᖊᐣ_ᖗ_ᐨ ,Get cream for-healing.,Obtenez une crème cicatrisante.,उपचार के लिए क्रीम प्राप्त करें।,احصل على كريم للشفاء.,获得治疗霜。
2671.1.1,2671,1,BEANISH-1,"ᕒᖚᐧ ᘊᘖᑫᘖᒣᐣᖚ ᘛ ᓭᑦᐧ ᕒᖚᑫᕋ,ᐨ ","ᕒ_ᖚᐧ ᘊ_ᘖ_ᑫ_ᘖ_ᒣᐣ_ᖚ ᘛ ᓭᑦᐧ ᕒ_ᖚ_ᑫ_ᕋ,_ᐨ ",,,,,
2676.1.1,2676,1,BEANISH-2,ᘊᒣᓭᐧᖊᔕ ᖆᘊᓭᒣᖊᐣᖗᐨ ,ᘊ_ᒣ_ᓭᐧ_ᖊ_ᔕ ᖆ_ᘊ_ᓭ_ᒣ_ᖊᐣ_ᖗ_ᐨ ,Cream for-healing.,Crème cicatrisante.,उपचार के लिए क्रीम।,كريم الشفاء.,治疗霜。
2697.1.1,2697,1,BEANISH-1,ᖚᑫᘖ ᓭᐧᖚ ,ᖚ_ᑫ_ᘖ ᓭᐧ_ᖚ ,This way.,Par ici.,इस तरफ।,من هنا.,这边走。
2706.1.1,2706,1,BEANISH-3,ᓭᘖᔭᓄᐨ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐨ ,Water.,Eau.,पानी।,ماء.,水。
2708.1.1,2706,1,CUEBALL,ᓭᘖᔭᓄᐨ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐨ ,Water.,Eau.,पानी।,ماء.,水。
2708.2.1,2708,2,BEANISH-3,"ᖉᑦ,ᐦ","ᖉᑦ,_ᐦ",Yes!,Oui!,हां!,نعم!,是的！
2708.2.2,2708,2,BEANISH-3,ᓭᘖᔭᓄᐦ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐦ ,Water!,Eau!,पानी!,ماء!,水！
2712.1.1,2712,1,CUEBALL,ᓭᘖᔭᓄᐨ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐨ ,Water.,Eau.,पानी।,ماء.,水。
2713.1.1,2713,1,BEANISH-3,ᓭᘖᔭᓄᐨ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐨ ,Water.,Eau.,पानी।,ماء.,水。
2728.1.1,2728,1,BEANISH-3,ᔪᖉᔭᑫ ᕒᖚᐧ ᘊᓭᐧᑲᐤ ,ᔪ_ᖉ_ᔭ_ᑫ ᕒ_ᖚᐧ ᘊ_ᓭᐧ_ᑲ_ᐤ ,You came from the South?,Vous venez du Sud?,क्या आप दक्षिण से हैं?,هل انت من الجنوب,你是南方人吗？
2728.1.2,2728,1,BEANISH-3,ᑦᘈᖽᐣ ᔭ ᖆᖽᒣ ᓭᘖᑦ ᖊᘊᐤ ,ᑦᘈ_ᖽᐣ ᔭ ᖆ_ᖽ_ᒣ ᓭ_ᘖ_ᑦ ᖊ_ᘊ_ᐤ ,Do you know what is happening?,Savez-vous ce qui se passe?,क्या आप जानते हैं कि क्या हो रहा है?,هل تعلم ما الذي يحدث؟,你知道发生了什么吗？
2728.1.3,2728,1,BEANISH-3,"ᕋᖗ ᖆᕬᖉᔭ ᘖᐣᖗᔭ, ᘊᓭᘖᔭᓄᐤ ","ᕋ_ᖗ ᖆ_ᕬ_ᖉ_ᔭ ᘖᐣ_ᖗ_ᔭ, ᘊ_ᓭ_ᘖ_ᔭ_ᓄ_ᐤ ",Are you aware the water is rising?,Savez-vous que l'eau monte?,क्या आप जानते हैं कि पानी बढ़ रहा है?,هل تعلم أن الماء يرتفع؟,你知道水在上升吗？
2734.1.1,2734,1,BEANISH-1,ᖽᔕᐣᘖ ᖚᐣᘖᖗᑫ ᖆᐣᖽ ᘊᒣᑦᖽᖆᐨ ,ᖽ_ᔕᐣ_ᘖ ᖚᐣ_ᘖ_ᖗ_ᑫ ᖆᐣᖽ ᘊ_ᒣᑦ_ᖽ_ᖆ_ᐨ ,We will go to the fortress.,Nous irons à la forteresse.,हम किले में जाएंगे।,سوف نذهب إلى القلعة.,我们将前往堡垒。
2797.1.1,2797,1,BEANISH-1,ᒣᓭᐧᖊᔕᐨ ,ᒣ_ᓭᐧ_ᖊ_ᔕ_ᐨ ,Cream.,Crème.,मलाई।,كريم.,奶油。
2798.1.1,2798,1,MEGAN,ᒣᓭᐧᖊᔕᐨ ,ᒣ_ᓭᐧ_ᖊ_ᔕ_ᐨ ,Cream.,Crème.,मलाई।,كريم.,奶油。
2802.1.1,2802,1,BEANISH-1,ᑕᘊᐣᒣ ᘊᓭᑦᑕᖉᐨ ,ᑕ_ᘊᐣ_ᒣ ᘊ_ᓭᑦ_ᑕ_ᖉ_ᐨ ,These lands.,Ces terres.,ये भूमि।,هذه الأراضي.,这些土地。
2802.1.2,2802,1,BEANISH-1,ᑕᘊᐣᒣ ᘊᓭᘖᔭᓄᐨ ,ᑕ_ᘊᐣ_ᒣ ᘊ_ᓭ_ᘖ_ᔭ_ᓄ_ᐨ ,These waters.,Ces eaux.,ये जल।,هذه المياه.,这些水域。
2802.1.3,2802,1,BEANISH-1,ᓭᘖᔭᓄᐦ ,ᓭ_ᘖ_ᔭ_ᓄ_ᐦ ,Water!,Eau!,पानी!,ماء!,水！
2806.1.1,2806,1,BEANISH-3,ᖆᘈᘖ ᖽᔕᐣᘖ ᖚᒣᑕᑫᓭ ᖆᐣᖽ ᘊᒣᑦᖽᖆᐨ ,ᖆ_ᘈ_ᘖ ᖽ_ᔕᐣ_ᘖ ᖚ_ᒣ_ᑕ_ᑫ_ᓭ ᖆᐣᖽ ᘊ_ᒣᑦ_ᖽ_ᖆ_ᐨ ,"John, we should go to the fortress now.","Jean, nous devrions aller à la forteresse maintenant.","जॉन, हमें अब किले में जाना चाहिए।",يوحنا ، يجب أن نذهب إلى القلعة الآن.,约翰，我们现在该去堡垒了。
2806.2.1,2806,2,BEANISH-1,"ᖉᑦ,ᐨ ","ᖉᑦ,_ᐨ ",Yes.,Oui.,हां।,نعم فعلا.,是的。
2821.1.1,2821,1,BEANISH-3,ᘖᓄᘈᖉᐣᐨ ,ᘖ_ᓄ_ᘈ_ᖉᐣ_ᐨ ,Marseille.,Marseille.,मार्सिले।,مرسيليا.,马赛。
2823.1.1,2823,1,BEANISH-S,"ᖉ, ᖆᐣᖚᔭ,ᐨ ","ᖉ, ᖆᐣ_ᖚ_ᔭ,_ᐨ ",Hello.,Bonjour.,नमस्ते।,صباح الخير.,你好。
2823.2.1,2823,2,BEANISH-2,"ᖉ, ᖆᐣᖚᔭ,ᐨ ","ᖉ, ᖆᐣ_ᖚ_ᔭ,_ᐨ ",Hello.,Bonjour.,नमस्ते।,صباح الخير.,你好。
2827.1.1,2827,1,BEANISH-2,ᘊᒣᑦᖽᖆᐨ ,ᘊ_ᒣᑦ_ᖽ_ᖆ_ᐨ ,The fortress.,La forteresse.,किला।,القلعة.,堡垒。
2836.1.1,2836,1,BEANISH-2,ᖽᔕᐣᘖ ᖚᐣᘖᖗᑫ ᖆᐣᖽ ᘊᓭᘖᑦᓄᐨ ,ᖽ_ᔕᐣ_ᘖ ᖚᐣ_ᘖ_ᖗ_ᑫ ᖆᐣᖽ ᘊ_ᓭ_ᘖᑦ_ᓄ-ᐨ ,We should go to the leader.,Nous devrions aller voir le chef.,हमें नेता के पास जाना चाहिए।,يجب أن نذهب لرؤية الرئيس.,我们应该去找领导。
2841.1.1,2841,1,BEANISH-2,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
2841.2.1,2841,2,BEANISH-W,"ᖉ, ᖆᐣᖚᔭ,ᐨ ","ᖉ, ᖆᐣ_ᖚ_ᔭ,_ᐨ ",Hello.,Bonjour.,नमस्ते।,صباح الخير.,你好。
2842.1.1,2842,1,BEANISH-1,"ᖉ, ᖆᐣᖚᔭᐦ ","ᖉ, ᖆᐣ_ᖚ_ᔭ_ᐦ ",Hello!,Bonjour!,नमस्कार!,صباح الخير!,你好！
2842.2.1,2842,2,BEANISH-W,ᖆᘈᘖᐦ,ᖆ_ᘈ_ᘖᐦ,John!,Jean!,जॉन!,يوحنا!,约翰！
2842.2.2,2842,2,BEANISH-W,"ᖉ, ᖆᐣᖚᔭᐦ ","ᖉ, ᖆᐣ_ᖚ_ᔭ_ᐦ ",Hello!,Bonjour!,नमस्कार!,صباح الخير!,你好！
2863.1.1,2863,1,BEANISH-R,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
2864.1.1,2864,1,BEANISH-2,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
2864.2.1,2864,2,BEANISH-3,ᘈᘊᘖᐨ ,ᘈ_ᘊ_ᘖ_ᐨ ,Cheers.,Salut.,चीयर्स।,سلام.,干杯。
